what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1351063295281
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1351063295328
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1351063295391
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1351063295438
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1351063295531
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1351063295562
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1351063295562
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1351063295562
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1351063295562
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1351063295562
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1351063295609
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1351063295625
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1351063295641
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1351063295641
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1351063295656
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1351063295672
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1351063295688
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1351063295719
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1351063295719
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1351063295719
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1351063295734
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1351063295734
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1351063295734
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1351063295828
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1351063295875
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1351063295875
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1351063295875
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1351063295875
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1351063295875
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1351063295875
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1351063295875
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1351063295875
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1351063295875
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1351063295875
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1351063295969
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1351063296000
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1351063296031
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1351063296062
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1351063296062
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1351063296062
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1351063296078
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1351063296109
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1351063296125
started,bundle,org.eclipse.egit.core,2.0.0.201206130900-r,"org.eclipse.egit.core",1351063296125
started,bundle,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui",1351063296141
started,bundle,org.eclipse.jgit,2.0.0.201206130900-r,"org.eclipse.jgit",1351063296141
started,bundle,org.eclipse.wb.discovery.core,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.core",1351063296141
os,sysinfo,,,"win32",1351063296172
arch,sysinfo,,,"x86",1351063296172
ws,sysinfo,,,"win32",1351063296172
locale,sysinfo,,,"zh_CN",1351063296172
processors,sysinfo,,,"1",1351063296172
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351063296172
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1351063296172
java.specification.name,sysinfo,,,"Java Platform API Specification",1351063296172
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351063296172
java.specification.version,sysinfo,,,"1.6",1351063296172
java.vendor,sysinfo,,,"Oracle Corporation",1351063296172
java.version,sysinfo,,,"1.6.0_29",1351063296172
java.vm.info,sysinfo,,,"compiled mode",1351063296172
java.vm.name,sysinfo,,,"Oracle JRockit(R)",1351063296172
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351063296172
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351063296172
java.vm.specification.version,sysinfo,,,"1.0",1351063296172
java.vm.vendor,sysinfo,,,"Oracle Corporation",1351063296172
java.vm.version,sysinfo,,,"R28.1.5-20-146757-1.6.0_29-20111004-1748-windows-ia32",1351063296172
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351063296797
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351063296844
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1351063296938
started,bundle,org.eclipse.wb.discovery.ui,1.5.0.r37x201206111213,"org.eclipse.wb.discovery.ui",1351063297453
started,bundle,org.eclipse.wb.core.lib,1.5.0.r37x201206111201,"org.eclipse.wb.core.lib",1351063297719
started,bundle,org.eclipse.wb.core,1.5.0.r37x201206111201,"org.eclipse.wb.core",1351063298172
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1351063298219
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1351063298453
started,bundle,com.google.gdt.eclipse.designer,2.6.0.r37x201206111227,"com.google.gdt.eclipse.designer",1351063298500
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1351063298562
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.6.0.r37x201206111227,"com.google.gdt.eclipse.designer.UiBinder",1351063298672
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.SmartGWT",1351063298672
started,bundle,com.google.gdt.eclipse.designer.GXT,2.6.0.r37x201206111253,"com.google.gdt.eclipse.designer.GXT",1351063298688
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1351063298969
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1351063302953
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1351063302953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063305156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063307953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1351063307969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1351063307969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063320484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063320672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063323188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063353328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063359125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063380766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1351063380781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1351063380781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063405812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063419797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063422203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063435250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063438594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063473656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1351063473672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1351063473672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063474562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063475469
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351063475766
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1351063476500
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1351063476828
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1351063477453
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1351063477531
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1351063477578
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1351063477672
